L_IMU_Ang,R_IMU_Ang,L_IMU_Vel,R_IMU_Vel,Time
0.0,0.0,0.0,0.0,1.430511474609375e-06
0.0,0.0,0.0,0.0,0.0002636909484863281
0.0,0.0,0.0,0.0,0.0003643035888671875
0.0,0.0,0.0,0.0,0.00043487548828125
0.0,0.0,0.0,0.0,0.0005023479461669922
0.0,0.0,0.0,0.0,0.0005691051483154297
0.0,0.0,0.0,0.0,0.0006320476531982422
0.0,0.0,0.0,0.0,0.00069427490234375
0.0,0.0,0.0,0.0,0.0007569789886474609
0.0,0.0,0.0,0.0,0.0008192062377929688
0.0,0.0,0.0,0.0,0.0008814334869384766
0.0,0.0,0.0,0.0,0.0009436607360839844
0.0,0.0,0.0,0.0,0.001007080078125
0.0,0.0,0.0,0.0,0.0011076927185058594
0.0,0.0,0.0,0.0,0.001172780990600586
0.0,0.0,0.0,0.0,0.0012354850769042969
0.0,0.0,0.0,0.0,0.0012977123260498047
0.0,0.0,0.0,0.0,0.0013630390167236328
0.0,0.0,0.0,0.0,0.0018367767333984375
0.0,0.0,0.0,0.0,0.0019474029541015625
0.0,0.0,0.0,0.0,0.002016782760620117
0.0,0.0,0.0,0.0,0.0020825862884521484
0.0,0.0,0.0,0.0,0.0021462440490722656
0.0,0.0,0.0,0.0,0.002210378646850586
0.0,0.0,0.0,0.0,0.0023441314697265625
0.0,0.0,0.0,0.0,0.002409219741821289
0.0,0.0,0.0,0.0,0.0024712085723876953
0.0,0.0,0.0,0.0,0.0025353431701660156
0.0,0.0,0.0,0.0,0.002596616744995117
0.0,0.0,0.0,0.0,0.002657651901245117
0.0,0.0,0.0,0.0,0.002718210220336914
0.0,0.0,0.0,0.0,0.002779245376586914
0.0,0.0,0.0,0.0,0.002840280532836914
0.0,0.0,0.0,0.0,0.0029010772705078125
0.0,0.0,0.0,0.0,0.002961874008178711
0.0,0.0,0.0,0.0,0.0030231475830078125
0.0,0.0,0.0,0.0,0.0030837059020996094
0.0,0.0,0.0,0.0,0.0031447410583496094
0.0,0.0,0.0,0.0,0.0032052993774414062
0.0,0.0,0.0,0.0,0.0032660961151123047
0.0,0.0,0.0,0.0,0.003326892852783203
